ENSG00000180008	ENST00000395472:ENST00000555846:ENST00000339298
ENSG00000076864	ENST00000495204
ENSG00000076864	ENST00000374763
ENSG00000076864	ENST00000447293
ENSG00000076864	ENST00000374761
ENSG00000076864	ENST00000290101
ENSG00000086015	ENST00000372009
ENSG00000086015	ENST00000361297
ENSG00000086015	ENST00000372008
ENSG00000248920	ENST00000515566
ENSG00000115808	ENST00000263918
ENSG00000115808	ENST00000379213
ENSG00000129351	ENST00000588657:ENST00000449870
ENSG00000129351	ENST00000590261:ENST00000318511
ENSG00000129351	ENST00000407004
ENSG00000129351	ENST00000589283
ENSG00000129351	ENST00000587840
ENSG00000129351	ENST00000250241:ENST00000420083
ENSG00000129351	ENST00000589485
ENSG00000129351	ENST00000589600
ENSG00000129351	ENST00000593199
ENSG00000129351	ENST00000590009
ENSG00000129351	ENST00000590869
ENSG00000129351	ENST00000589998
ENSG00000129351	ENST00000593061
ENSG00000129351	ENST00000587505:ENST00000589052
ENSG00000129351	ENST00000585835
ENSG00000129351	ENST00000589416
ENSG00000129351	ENST00000592763
ENSG00000129351	ENST00000587941
ENSG00000168032	ENST00000301825:ENST00000456402
ENSG00000168032	ENST00000445129
ENSG00000168032	ENST00000439533
ENSG00000167747	ENST00000596287
ENSG00000167747	ENST00000597493
ENSG00000167747	ENST00000600373
ENSG00000167747	ENST00000593287
ENSG00000167747	ENST00000597705
ENSG00000167747	ENST00000601267
ENSG00000167747	ENST00000598463:ENST00000345523:ENST00000596655:ENST00000391812
ENSG00000142686	ENST00000270815
ENSG00000168036	ENST00000433400
ENSG00000168036	ENST00000441708
ENSG00000168036	ENST00000450969
ENSG00000168036	ENST00000405570:ENST00000396183:ENST00000349496:ENST00000396185
ENSG00000168036	ENST00000426215
ENSG00000168036	ENST00000431914
ENSG00000168036	ENST00000453024
ENSG00000167740	ENST00000577075:ENST00000575251
ENSG00000167740	ENST00000573984
ENSG00000167740	ENST00000301391
ENSG00000168038	ENST00000453224:ENST00000431379:ENST00000414606
ENSG00000168038	ENST00000301831
ENSG00000168038	ENST00000420927
ENSG00000167749	ENST00000324041
ENSG00000167749	ENST00000598305:ENST00000593885
ENSG00000167749	ENST00000602148
ENSG00000167749	ENST00000431178
ENSG00000167748	ENST00000593325
ENSG00000167748	ENST00000448701
ENSG00000167748	ENST00000301420
ENSG00000240764	ENST00000252087
ENSG00000148053	ENST00000376208
ENSG00000148053	ENST00000359847:ENST00000395882
ENSG00000148053	ENST00000395866
ENSG00000148053	ENST00000323115:ENST00000376213
ENSG00000148053	ENST00000277120:ENST00000376214
ENSG00000148053	ENST00000304053
ENSG00000171401	ENST00000464634
ENSG00000171401	ENST00000590425
ENSG00000171401	ENST00000587435
ENSG00000171401	ENST00000336861
ENSG00000171401	ENST00000246635
ENSG00000171401	ENST00000587544
ENSG00000211769	ENST00000390417
ENSG00000211768	ENST00000390416
ENSG00000152556	ENST00000546465
ENSG00000152556	ENST00000340802
ENSG00000152556	ENST00000553055
ENSG00000152556	ENST00000551804:ENST00000395233
ENSG00000152556	ENST00000550345
ENSG00000152556	ENST00000359794:ENST00000547587:ENST00000312352
ENSG00000152556	ENST00000549003
ENSG00000152556	ENST00000546755
ENSG00000152556	ENST00000549941
ENSG00000152556	ENST00000548288
ENSG00000152556	ENST00000547066
ENSG00000152556	ENST00000550257
ENSG00000152556	ENST00000552989
ENSG00000152556	ENST00000549366
ENSG00000152556	ENST00000552792
ENSG00000152556	ENST00000551485
ENSG00000152556	ENST00000548345
ENSG00000152556	ENST00000552752
ENSG00000152556	ENST00000551339
ENSG00000152556	ENST00000550924
ENSG00000152556	ENST00000549022
ENSG00000152556	ENST00000547581
ENSG00000243772	ENST00000342376
ENSG00000243772	ENST00000434419
ENSG00000184465	ENST00000448612
ENSG00000184465	ENST00000333572
ENSG00000184465	ENST00000420344
ENSG00000184465	ENST00000423258
ENSG00000184465	ENST00000474018
ENSG00000184465	ENST00000441385
ENSG00000213995	ENST00000424185
ENSG00000213995	ENST00000309957
ENSG00000213995	ENST00000397191
ENSG00000213995	ENST00000458711
ENSG00000211767	ENST00000390415
ENSG00000211766	ENST00000390414
ENSG00000211765	ENST00000390413
ENSG00000211764	ENST00000390412
ENSG00000219545	ENST00000406829
ENSG00000169740	ENST00000374433:ENST00000395797
ENSG00000018625	ENST00000361216
ENSG00000018625	ENST00000447527
ENSG00000018625	ENST00000392233
ENSG00000261609	ENST00000568107
ENSG00000169744	ENST00000515064
ENSG00000169744	ENST00000512345
ENSG00000169744	ENST00000441778
ENSG00000169744	ENST00000508918
ENSG00000169744	ENST00000503178
ENSG00000169744	ENST00000304523
ENSG00000169744	ENST00000507464
ENSG00000169744	ENST00000506732
ENSG00000169744	ENST00000502640
ENSG00000171405	ENST00000375503
ENSG00000171405	ENST00000375501:ENST00000351072:ENST00000425386
ENSG00000181885	ENST00000571881
ENSG00000181885	ENST00000571932
ENSG00000181885	ENST00000538261
ENSG00000181885	ENST00000574070
ENSG00000181885	ENST00000575313
ENSG00000181885	ENST00000360325:ENST00000397317
ENSG00000215644	ENST00000573428
ENSG00000215644	ENST00000400723
ENSG00000215644	ENST00000570996
ENSG00000177565	ENST00000427349
ENSG00000177565	ENST00000422066
ENSG00000177565	ENST00000424913
ENSG00000177565	ENST00000422442
ENSG00000177565	ENST00000431674
ENSG00000177565	ENST00000413084
ENSG00000177565	ENST00000443315
ENSG00000177565	ENST00000428970
ENSG00000177565	ENST00000450267
ENSG00000177565	ENST00000430069:ENST00000457928
ENSG00000177565	ENST00000437738:ENST00000352800
ENSG00000177565	ENST00000431421
ENSG00000161202	ENST00000423300
ENSG00000161202	ENST00000313143
ENSG00000161202	ENST00000431765
ENSG00000161202	ENST00000435708
ENSG00000168298	ENST00000304218
ENSG00000059804	ENST00000544936
ENSG00000059804	ENST00000544291
ENSG00000059804	ENST00000075120
ENSG00000153714	ENST00000319264
ENSG00000272305	ENST00000607495
ENSG00000272305	ENST00000607283
ENSG00000272305	ENST00000607203
ENSG00000171496	ENST00000304865
ENSG00000127241	ENST00000337774
ENSG00000127241	ENST00000169293
ENSG00000127241	ENST00000392472
ENSG00000127241	ENST00000392470
ENSG00000127241	ENST00000392475
ENSG00000127241	ENST00000425937
ENSG00000127241	ENST00000439271
ENSG00000127241	ENST00000296280
ENSG00000175707	ENST00000320567
ENSG00000105879	ENST00000222597
ENSG00000105879	ENST00000440859
ENSG00000105879	ENST00000420796
ENSG00000105879	ENST00000415884
ENSG00000105879	ENST00000432748
ENSG00000181915	ENST00000373783
ENSG00000120903	ENST00000520933:ENST00000407991
ENSG00000120903	ENST00000518712
ENSG00000120903	ENST00000524096
ENSG00000120903	ENST00000521921
ENSG00000120903	ENST00000520208
ENSG00000120903	ENST00000240132
ENSG00000120903	ENST00000523695
ENSG00000085117	ENST00000525210
ENSG00000085117	ENST00000525813
ENSG00000085117	ENST00000526958
ENSG00000085117	ENST00000530601
ENSG00000085117	ENST00000227155
ENSG00000085117	ENST00000524750
ENSG00000085117	ENST00000342935
ENSG00000085117	ENST00000524704
ENSG00000085117	ENST00000532544
ENSG00000085117	ENST00000527737
ENSG00000111832	ENST00000487832:ENST00000392526
ENSG00000111832	ENST00000368590
ENSG00000111832	ENST00000468204
ENSG00000111832	ENST00000518117
ENSG00000111832	ENST00000466444
ENSG00000105877	ENST00000328843
ENSG00000105877	ENST00000605912
ENSG00000105877	ENST00000409508
ENSG00000105877	ENST00000607413
ENSG00000105875	ENST00000344400
ENSG00000105875	ENST00000354475
ENSG00000105875	ENST00000423565
ENSG00000267987	ENST00000594963
ENSG00000135074	ENST00000257527
ENSG00000135074	ENST00000394020
ENSG00000135074	ENST00000517951
ENSG00000135074	ENST00000517374
ENSG00000135074	ENST00000430702
ENSG00000135074	ENST00000517905
ENSG00000135077	ENST00000524219
ENSG00000135077	ENST00000522593
ENSG00000135077	ENST00000307851
ENSG00000131023	ENST00000543571:ENST00000253339
ENSG00000131023	ENST00000458696
ENSG00000131023	ENST00000441107:ENST00000542720
ENSG00000131023	ENST00000392273
ENSG00000142273	ENST00000270279
ENSG00000142273	ENST00000341505
ENSG00000116117	ENST00000462231
ENSG00000116117	ENST00000415947
ENSG00000116117	ENST00000349953
ENSG00000116117	ENST00000358768
ENSG00000116117	ENST00000351153
ENSG00000116117	ENST00000406610
ENSG00000131759	ENST00000394086
ENSG00000131759	ENST00000577646
ENSG00000131759	ENST00000394081
ENSG00000131759	ENST00000475125
ENSG00000131759	ENST00000425707
ENSG00000131759	ENST00000254066:ENST00000394089
ENSG00000142279	ENST00000270288
ENSG00000142279	ENST00000590071
ENSG00000142279	ENST00000585928
ENSG00000146083	ENST00000537487
ENSG00000146083	ENST00000274811
ENSG00000146083	ENST00000504160
ENSG00000146083	ENST00000513029
ENSG00000146083	ENST00000506378
ENSG00000136250	ENST00000538464
ENSG00000136250	ENST00000431169
ENSG00000136250	ENST00000535891
ENSG00000136250	ENST00000435386
ENSG00000136250	ENST00000414637
ENSG00000136250	ENST00000258749
ENSG00000149792	ENST00000526171
ENSG00000149792	ENST00000531705
ENSG00000149792	ENST00000526319:ENST00000279242
ENSG00000149792	ENST00000533943
ENSG00000149792	ENST00000534078
ENSG00000149021	ENST00000534397
ENSG00000149021	ENST00000278282
ENSG00000146085	ENST00000274813
ENSG00000132591	ENST00000583487
ENSG00000132591	ENST00000461894
ENSG00000132591	ENST00000254928
ENSG00000132591	ENST00000412138
ENSG00000132591	ENST00000580917
ENSG00000115593	ENST00000419482
ENSG00000115593	ENST00000444564
ENSG00000115593	ENST00000438570
ENSG00000102471	ENST00000218652
ENSG00000102471	ENST00000465762
ENSG00000102471	ENST00000487865
ENSG00000203876	ENST00000538668
ENSG00000203876	ENST00000369657
ENSG00000203876	ENST00000369655
ENSG00000149798	ENST00000279249:ENST00000533419:ENST00000544348
ENSG00000177700	ENST00000534030:ENST00000322028
ENSG00000165997	ENST00000377275
ENSG00000183054	ENST00000437167
ENSG00000183054	ENST00000446930
ENSG00000183054	ENST00000329516
ENSG00000183054	ENST00000455695
ENSG00000183054	ENST00000484024
ENSG00000183054	ENST00000330331
ENSG00000189058	ENST00000458447
ENSG00000189058	ENST00000453131
ENSG00000189058	ENST00000421243
ENSG00000189058	ENST00000343267
ENSG00000177706	ENST00000313766
ENSG00000177707	ENST00000461477
ENSG00000177707	ENST00000493615
ENSG00000177707	ENST00000491525
ENSG00000177707	ENST00000486596
ENSG00000177707	ENST00000481766
ENSG00000177707	ENST00000485506
ENSG00000177707	ENST00000485303
ENSG00000177707	ENST00000319792
ENSG00000203870	ENST00000369529
ENSG00000099256	ENST00000320152
ENSG00000099256	ENST00000376378
ENSG00000099256	ENST00000376376
ENSG00000111676	ENST00000356654:ENST00000396684
ENSG00000143157	ENST00000536514
ENSG00000143157	ENST00000537173
ENSG00000143157	ENST00000449930
ENSG00000143157	ENST00000367876:ENST00000367875
ENSG00000239998	ENST00000391737
ENSG00000239998	ENST00000251376
ENSG00000239998	ENST00000439534
ENSG00000239998	ENST00000251377:ENST00000391738
ENSG00000203871	ENST00000369570
ENSG00000180644	ENST00000373209:ENST00000441259
ENSG00000121716	ENST00000608825
ENSG00000121716	ENST00000438231
ENSG00000121716	ENST00000431140
ENSG00000121716	ENST00000438028
ENSG00000121716	ENST00000457519:ENST00000443526:ENST00000419749:ENST00000422808
ENSG00000121716	ENST00000455145
ENSG00000121716	ENST00000452089:ENST00000609309:ENST00000610247:ENST00000444073
ENSG00000121716	ENST00000448382
ENSG00000187961	ENST00000466300
ENSG00000187961	ENST00000338591
ENSG00000147689	ENST00000518448:ENST00000318462
ENSG00000147689	ENST00000276699:ENST00000536633
ENSG00000147689	ENST00000522648:ENST00000546351
ENSG00000147687	ENST00000522810
ENSG00000147687	ENST00000519776:ENST00000522310
ENSG00000147687	ENST00000276692
ENSG00000147687	ENST00000523214
ENSG00000147687	ENST00000520321
ENSG00000147687	ENST00000605953
ENSG00000147687	ENST00000522927
ENSG00000147687	ENST00000519232
ENSG00000147687	ENST00000520938
ENSG00000147687	ENST00000519548
ENSG00000147687	ENST00000523152
ENSG00000147687	ENST00000523888
ENSG00000147687	ENST00000517678
ENSG00000147684	ENST00000518008
ENSG00000147684	ENST00000522532
ENSG00000147684	ENST00000276689
ENSG00000147684	ENST00000517367
ENSG00000117640	ENST00000533762
ENSG00000117640	ENST00000526158
ENSG00000117640	ENST00000524618
ENSG00000117640	ENST00000525713
ENSG00000117640	ENST00000374307
ENSG00000117640	ENST00000474295:ENST00000466284
ENSG00000117640	ENST00000529116
ENSG00000117640	ENST00000424294
ENSG00000117640	ENST00000526894
ENSG00000117640	ENST00000374301:ENST00000374300:ENST00000374303
ENSG00000117640	ENST00000528624:ENST00000464008:ENST00000530599
ENSG00000117640	ENST00000478284
ENSG00000117640	ENST00000488327
ENSG00000117640	ENST00000472643
ENSG00000125409	ENST00000395931
ENSG00000125409	ENST00000536146
ENSG00000125409	ENST00000543896
ENSG00000125409	ENST00000395930:ENST00000338696
ENSG00000125409	ENST00000539316
ENSG00000125409	ENST00000539245
ENSG00000187969	ENST00000339534
ENSG00000162763	ENST00000294818
ENSG00000188342	ENST00000340473
ENSG00000188343	ENST00000359421
ENSG00000188343	ENST00000518116
ENSG00000188343	ENST00000519679
ENSG00000188343	ENST00000520937
ENSG00000188343	ENST00000522324
ENSG00000188343	ENST00000523475
ENSG00000188343	ENST00000519135
ENSG00000188343	ENST00000523453
ENSG00000188343	ENST00000520955
ENSG00000188343	ENST00000452913
ENSG00000188343	ENST00000517718:ENST00000521641
ENSG00000188343	ENST00000518322
ENSG00000188343	ENST00000423990
ENSG00000188343	ENST00000522803
ENSG00000188343	ENST00000518829
ENSG00000162843	ENST00000414635
ENSG00000162843	ENST00000425826
ENSG00000162843	ENST00000366552
ENSG00000162843	ENST00000468967
ENSG00000162843	ENST00000472717
ENSG00000162843	ENST00000437684
ENSG00000147174	ENST00000373696:ENST00000373695
ENSG00000166831	ENST00000300069
ENSG00000166831	ENST00000560606
ENSG00000231360	ENST00000538264
ENSG00000135617	ENST00000258083
ENSG00000162849	ENST00000366518
ENSG00000162849	ENST00000407071
ENSG00000114520	ENST00000536067
ENSG00000114520	ENST00000465505
ENSG00000114520	ENST00000471751
ENSG00000114520	ENST00000251775
ENSG00000166839	ENST00000380230
ENSG00000166839	ENST00000513267
ENSG00000166839	ENST00000395723
ENSG00000166839	ENST00000395720
ENSG00000166839	ENST00000487867
ENSG00000166839	ENST00000319580
ENSG00000166839	ENST00000496660
ENSG00000166839	ENST00000357698
ENSG00000166839	ENST00000483400
ENSG00000145198	ENST00000273794
ENSG00000145198	ENST00000426955
ENSG00000149243	ENST00000539798
ENSG00000149243	ENST00000376292
ENSG00000184702	ENST00000431044
ENSG00000184702	ENST00000455784
ENSG00000184702	ENST00000438754
ENSG00000184702	ENST00000395109
ENSG00000184702	ENST00000413258
ENSG00000184702	ENST00000455843:ENST00000383045
ENSG00000184702	ENST00000431124
ENSG00000184702	ENST00000406172
ENSG00000184702	ENST00000406395
ENSG00000184702	ENST00000412544
ENSG00000169813	ENST00000357065:ENST00000356053:ENST00000337970:ENST00000544000:ENST00000443950
ENSG00000145191	ENST00000444495
ENSG00000145191	ENST00000432982
ENSG00000145191	ENST00000432569
ENSG00000145191	ENST00000273783
ENSG00000145192	ENST00000411641
ENSG00000145192	ENST00000273784
ENSG00000069956	ENST00000261845
ENSG00000145194	ENST00000404464
ENSG00000145194	ENST00000422932
ENSG00000145194	ENST00000430587
ENSG00000145194	ENST00000359140
ENSG00000145194	ENST00000324557
ENSG00000145194	ENST00000357474
ENSG00000145194	ENST00000402825
ENSG00000184708	ENST00000344710
ENSG00000184708	ENST00000423097
ENSG00000184708	ENST00000445424
ENSG00000184708	ENST00000397518:ENST00000397520
ENSG00000184708	ENST00000382180
ENSG00000184708	ENST00000397523
ENSG00000184708	ENST00000397525:ENST00000330125
ENSG00000184708	ENST00000418321
ENSG00000169814	ENST00000417015
ENSG00000169814	ENST00000436193
ENSG00000169814	ENST00000437172
ENSG00000169814	ENST00000427382
ENSG00000169814	ENST00000449107
ENSG00000169814	ENST00000383778
ENSG00000169814	ENST00000303498
ENSG00000112182	ENST00000406998:ENST00000453877
ENSG00000112182	ENST00000257749:ENST00000343122:ENST00000537989
ENSG00000163463	ENST00000295682
ENSG00000163464	ENST00000295683
ENSG00000143067	ENST00000421812
ENSG00000163466	ENST00000414983
ENSG00000163466	ENST00000456575
ENSG00000163466	ENST00000420104
ENSG00000163466	ENST00000420201
ENSG00000163466	ENST00000315717:ENST00000295685
ENSG00000170946	ENST00000526529
ENSG00000170946	ENST00000465995
ENSG00000170946	ENST00000527731
ENSG00000170946	ENST00000526042
ENSG00000170946	ENST00000395949
ENSG00000170946	ENST00000536040
ENSG00000170946	ENST00000525511
ENSG00000163468	ENST00000496684
ENSG00000163468	ENST00000472765:ENST00000368261
ENSG00000163468	ENST00000415548
ENSG00000163468	ENST00000368262
ENSG00000163468	ENST00000368258
ENSG00000163468	ENST00000368259
ENSG00000163468	ENST00000478640
ENSG00000163468	ENST00000446905
ENSG00000163468	ENST00000295688
ENSG00000163468	ENST00000413555
ENSG00000163468	ENST00000533194
ENSG00000167741	ENST00000573591
ENSG00000167741	ENST00000574584
ENSG00000167741	ENST00000301395
ENSG00000167741	ENST00000381550
ENSG00000167741	ENST00000574154
ENSG00000141682	ENST00000269518
ENSG00000141682	ENST00000316660
ENSG00000048471	ENST00000563308
ENSG00000048471	ENST00000306030
ENSG00000048471	ENST00000323433
ENSG00000048471	ENST00000562510
ENSG00000048471	ENST00000566228
ENSG00000048471	ENST00000564791
ENSG00000048471	ENST00000569801
ENSG00000105290	ENST00000587274
ENSG00000105290	ENST00000592316
ENSG00000105290	ENST00000590561
ENSG00000105290	ENST00000537454
ENSG00000105290	ENST00000221891
ENSG00000105290	ENST00000586861
ENSG00000105290	ENST00000589743
ENSG00000105290	ENST00000588808
ENSG00000162599	ENST00000493627
ENSG00000162599	ENST00000371185
ENSG00000162599	ENST00000485903
ENSG00000162599	ENST00000496712
ENSG00000162599	ENST00000371184
ENSG00000162599	ENST00000482020
ENSG00000162599	ENST00000371189
ENSG00000162599	ENST00000407417
ENSG00000162599	ENST00000476646
ENSG00000162599	ENST00000371187
ENSG00000162599	ENST00000357977
ENSG00000162599	ENST00000403491
ENSG00000162599	ENST00000371191
ENSG00000179222	ENST00000375772:ENST00000375722:ENST00000326587
ENSG00000179222	ENST00000375695
ENSG00000109736	ENST00000355443:ENST00000329687
ENSG00000109736	ENST00000507555
ENSG00000109736	ENST00000503596
ENSG00000109736	ENST00000507272
ENSG00000109736	ENST00000508221
ENSG00000109736	ENST00000514800
ENSG00000109738	ENST00000264428:ENST00000509282
ENSG00000109738	ENST00000541722
ENSG00000109738	ENST00000515642:ENST00000506411
ENSG00000109738	ENST00000512619
ENSG00000066933	ENST00000424560
ENSG00000066933	ENST00000561618
ENSG00000066933	ENST00000564571
ENSG00000066933	ENST00000568481
ENSG00000066933	ENST00000568042
ENSG00000066933	ENST00000569314
ENSG00000066933	ENST00000356056
ENSG00000066933	ENST00000566885
ENSG00000066933	ENST00000568438
ENSG00000066933	ENST00000444904
ENSG00000066933	ENST00000564931
ENSG00000172288	ENST00000361963
ENSG00000172288	ENST00000306609
ENSG00000172289	ENST00000307552
ENSG00000029363	ENST00000530767
ENSG00000029363	ENST00000530429
ENSG00000029363	ENST00000533422
ENSG00000029363	ENST00000529826
ENSG00000029363	ENST00000531224
ENSG00000029363	ENST00000534762
ENSG00000029363	ENST00000527613:ENST00000532384
ENSG00000029363	ENST00000392348:ENST00000353331
ENSG00000029363	ENST00000031135
ENSG00000029363	ENST00000534269
ENSG00000029363	ENST00000533621
ENSG00000029363	ENST00000527759
ENSG00000029363	ENST00000527536
ENSG00000162595	ENST00000370981:ENST00000395201
ENSG00000162594	ENST00000425614
ENSG00000162594	ENST00000347310
ENSG00000162594	ENST00000371002
ENSG00000162594	ENST00000395227
ENSG00000169035	ENST00000597707
ENSG00000169035	ENST00000593904
ENSG00000169035	ENST00000304045
ENSG00000169035	ENST00000595820:ENST00000391807
ENSG00000169035	ENST00000336317
ENSG00000268846	ENST00000595956
ENSG00000118640	ENST00000432071
ENSG00000118640	ENST00000263864
ENSG00000118640	ENST00000409760
ENSG00000006210	ENST00000006053
ENSG00000006210	ENST00000565912
ENSG00000006210	ENST00000563383
ENSG00000006210	ENST00000564948
ENSG00000099840	ENST00000395296
ENSG00000099840	ENST00000395307
ENSG00000099840	ENST00000395301
ENSG00000168488	ENST00000568266
ENSG00000168488	ENST00000567024
ENSG00000168488	ENST00000564162
ENSG00000168488	ENST00000382686
ENSG00000168488	ENST00000325215
ENSG00000168488	ENST00000566946
ENSG00000168488	ENST00000395547
ENSG00000168488	ENST00000340394
ENSG00000168488	ENST00000570200
ENSG00000168488	ENST00000564656
ENSG00000168488	ENST00000562583
ENSG00000168488	ENST00000569318
ENSG00000168488	ENST00000336783
ENSG00000168488	ENST00000564304
ENSG00000168488	ENST00000565971
ENSG00000168488	ENST00000566007
ENSG00000139546	ENST00000547064
ENSG00000139546	ENST00000550147
ENSG00000139546	ENST00000551741
ENSG00000139546	ENST00000552817
ENSG00000139546	ENST00000552857
ENSG00000139546	ENST00000549679
ENSG00000139546	ENST00000548971
ENSG00000139546	ENST00000266987
ENSG00000139546	ENST00000456234:ENST00000394357
ENSG00000139546	ENST00000549572
ENSG00000139546	ENST00000550407
ENSG00000159961	ENST00000291231
ENSG00000090776	ENST00000204961
ENSG00000186446	ENST00000396048
ENSG00000087916	ENST00000371900
ENSG00000068354	ENST00000376771
ENSG00000068354	ENST00000418627
ENSG00000068354	ENST00000481090
ENSG00000068354	ENST00000537536
ENSG00000259164	ENST00000557752
ENSG00000213853	ENST00000359543:ENST00000536829
ENSG00000029534	ENST00000520299
ENSG00000029534	ENST00000348036
ENSG00000029534	ENST00000314214
ENSG00000029534	ENST00000289734
ENSG00000029534	ENST00000396942
ENSG00000029534	ENST00000352337
ENSG00000029534	ENST00000522231
ENSG00000029534	ENST00000379758
ENSG00000029534	ENST00000335651
ENSG00000029534	ENST00000396945
ENSG00000029534	ENST00000265709
ENSG00000029534	ENST00000518061
ENSG00000029534	ENST00000457297
ENSG00000029534	ENST00000347528
ENSG00000029534	ENST00000522543
ENSG00000213585	ENST00000425992
ENSG00000213585	ENST00000395044:ENST00000265333:ENST00000395047
ENSG00000138696	ENST00000506363
ENSG00000138696	ENST00000440890
ENSG00000138696	ENST00000502683
ENSG00000138696	ENST00000515059:ENST00000512312:ENST00000509540:ENST00000264568:ENST00000394931
ENSG00000250173	ENST00000511936
ENSG00000138346	ENST00000550357
ENSG00000138346	ENST00000551118
ENSG00000138346	ENST00000440722
ENSG00000138346	ENST00000358410
ENSG00000138346	ENST00000399179
ENSG00000138346	ENST00000399180
ENSG00000213588	ENST00000395064
ENSG00000213859	ENST00000333751
ENSG00000178773	ENST00000568977
ENSG00000178773	ENST00000529800
ENSG00000178773	ENST00000526232
ENSG00000178773	ENST00000525982
ENSG00000178773	ENST00000268720
ENSG00000178773	ENST00000319518
ENSG00000014216	ENST00000526468
ENSG00000014216	ENST00000534373
ENSG00000014216	ENST00000529133
ENSG00000014216	ENST00000531068
ENSG00000014216	ENST00000532285
ENSG00000014216	ENST00000533909
ENSG00000014216	ENST00000527699
ENSG00000014216	ENST00000527739:ENST00000526966
ENSG00000014216	ENST00000526954
ENSG00000014216	ENST00000528396
ENSG00000014216	ENST00000533820:ENST00000533129:ENST00000524773:ENST00000279247:ENST00000527323
ENSG00000105127	ENST00000599883
ENSG00000105127	ENST00000598597
ENSG00000105127	ENST00000269701
ENSG00000184293	ENST00000540988
ENSG00000184293	ENST00000542530
ENSG00000184293	ENST00000327839
ENSG00000102128	ENST00000218249
ENSG00000175324	ENST00000311351
ENSG00000175324	ENST00000520755
ENSG00000175324	ENST00000523511
ENSG00000271043	ENST00000604882
ENSG00000070269	ENST00000538838
ENSG00000070269	ENST00000536419
ENSG00000070269	ENST00000555497
ENSG00000070269	ENST00000556810
ENSG00000070269	ENST00000261556
ENSG00000070269	ENST00000555905
ENSG00000070269	ENST00000556422
ENSG00000070269	ENST00000539559
ENSG00000070269	ENST00000556929
ENSG00000070269	ENST00000555046
ENSG00000150593	ENST00000280154
ENSG00000150593	ENST00000393104
ENSG00000150593	ENST00000444997
ENSG00000186564	ENST00000334793
ENSG00000186566	ENST00000591680
ENSG00000186566	ENST00000585614
ENSG00000186566	ENST00000434000
ENSG00000186566	ENST00000590041:ENST00000592746:ENST00000586037:ENST00000592154
ENSG00000186566	ENST00000587228
ENSG00000186566	ENST00000588554
ENSG00000186567	ENST00000592472
ENSG00000186567	ENST00000587729:ENST00000585657:ENST00000592789:ENST00000591979
ENSG00000186567	ENST00000403660
ENSG00000186567	ENST00000358777
ENSG00000186562	ENST00000334773
ENSG00000146555	ENST00000404826
ENSG00000146555	ENST00000426596
ENSG00000146555	ENST00000389531
ENSG00000146223	ENST00000602561
ENSG00000146223	ENST00000424341
ENSG00000146223	ENST00000493763:ENST00000304734
ENSG00000146221	ENST00000371504:ENST00000371503
ENSG00000146221	ENST00000371505
ENSG00000060709	ENST00000540658
ENSG00000060709	ENST00000261655
ENSG00000060709	ENST00000536632
ENSG00000060709	ENST00000535703:ENST00000536002
ENSG00000051009	ENST00000265978
ENSG00000051009	ENST00000524416
ENSG00000051009	ENST00000449352
