Gene stable ID	Mouse gene stable ID	Mouse homology type
ENSG00000101160	ENSMUSG00000016256	ortholog_one2one
ENSG00000101193	ENSMUSG00000027573	ortholog_one2one
ENSG00000101363	ENSMUSG00000063019	ortholog_one2one
ENSG00000101367	ENSMUSG00000027479	ortholog_one2one
ENSG00000101400	ENSMUSG00000027488	ortholog_one2one
ENSG00000101407	ENSMUSG00000027650	ortholog_one2one
ENSG00000101421	ENSMUSG00000038467	ortholog_one2one
ENSG00000101439	ENSMUSG00000027447	ortholog_many2many
ENSG00000101752	ENSMUSG00000024294	ortholog_one2one
ENSG00000101940	ENSMUSG00000031166	ortholog_one2one
ENSG00000101997	ENSMUSG00000031143	ortholog_one2one
ENSG00000102189	ENSMUSG00000036499	ortholog_one2one
ENSG00000102699	ENSMUSG00000054509	ortholog_one2one
ENSG00000102738	ENSMUSG00000031533	ortholog_one2one
ENSG00000102760	ENSMUSG00000022018	ortholog_one2one
ENSG00000102805	ENSMUSG00000022125	ortholog_one2one
ENSG00000102870	ENSMUSG00000045639	ortholog_one2one
ENSG00000102978	ENSMUSG00000031783	ortholog_one2one
ENSG00000103966	ENSMUSG00000027293	ortholog_one2one
ENSG00000104756	ENSMUSG00000034327	ortholog_one2one
ENSG00000104889	ENSMUSG00000052926	ortholog_one2one
ENSG00000105229	ENSMUSG00000004934	ortholog_one2one
ENSG00000105849	ENSMUSG00000020561	ortholog_one2one
ENSG00000105887	ENSMUSG00000029840	ortholog_one2one
ENSG00000106153	ENSMUSG00000070493	ortholog_one2one
ENSG00000106244	ENSMUSG00000029623	ortholog_one2one
ENSG00000106299	ENSMUSG00000029684	ortholog_one2one
ENSG00000106400	ENSMUSG00000059518	ortholog_one2one
ENSG00000106537	ENSMUSG00000020577	ortholog_one2one
ENSG00000106723	ENSMUSG00000021395	ortholog_one2one
ENSG00000106803	ENSMUSG00000053317	ortholog_one2one
ENSG00000107020	ENSMUSG00000016495	ortholog_one2one
ENSG00000107140	ENSMUSG00000028458	ortholog_one2one
ENSG00000107164	ENSMUSG00000026843	ortholog_one2one
ENSG00000107175	ENSMUSG00000028466	ortholog_one2one
ENSG00000107341	ENSMUSG00000036241	ortholog_one2one
ENSG00000107438	ENSMUSG00000055044	ortholog_one2one
ENSG00000107625	ENSMUSG00000020076	ortholog_one2one
ENSG00000107829	ENSMUSG00000040913	ortholog_one2one
ENSG00000107833	ENSMUSG00000056209	ortholog_one2one
ENSG00000107854	ENSMUSG00000024811	ortholog_one2one
ENSG00000107862	ENSMUSG00000025224	ortholog_one2one
ENSG00000107874	ENSMUSG00000036748	ortholog_one2one
ENSG00000107960	ENSMUSG00000042694	ortholog_one2one
ENSG00000108010	ENSMUSG00000031068	ortholog_one2one
ENSG00000108055	ENSMUSG00000024974	ortholog_one2one
ENSG00000108091	ENSMUSG00000048701	ortholog_one2one
ENSG00000108590	ENSMUSG00000020801	ortholog_one2one
ENSG00000108651	ENSMUSG00000035575	ortholog_one2one
ENSG00000108691	ENSMUSG00000035385	ortholog_one2one
ENSG00000108819	ENSMUSG00000038976	ortholog_one2one
ENSG00000108829	ENSMUSG00000020869	ortholog_one2one
ENSG00000109111	ENSMUSG00000002052	ortholog_one2one
ENSG00000109390	ENSMUSG00000037152	ortholog_one2one
ENSG00000109475	ENSMUSG00000078128	ortholog_one2many
ENSG00000109475	ENSMUSG00000062006	ortholog_one2many
ENSG00000109519	ENSMUSG00000029198	ortholog_one2one
ENSG00000109534	ENSMUSG00000028010	ortholog_one2one
ENSG00000109606	ENSMUSG00000029169	ortholog_one2one
ENSG00000110063	ENSMUSG00000032040	ortholog_one2one
ENSG00000110108	ENSMUSG00000034659	ortholog_one2one
ENSG00000110367	ENSMUSG00000032097	ortholog_one2one
ENSG00000111269	ENSMUSG00000032652	ortholog_one2one
ENSG00000111639	ENSMUSG00000030335	ortholog_one2one
ENSG00000111676	ENSMUSG00000004263	ortholog_one2one
ENSG00000111775	ENSMUSG00000041697	ortholog_one2many
ENSG00000111843	ENSMUSG00000021361	ortholog_one2many
ENSG00000111845	ENSMUSG00000038683	ortholog_one2one
ENSG00000111875	ENSMUSG00000019857	ortholog_one2one
ENSG00000111897	ENSMUSG00000019877	ortholog_one2one
ENSG00000111911	ENSMUSG00000019791	ortholog_one2one
ENSG00000112079	ENSMUSG00000024006	ortholog_one2one
ENSG00000112110	ENSMUSG00000057388	ortholog_one2one
ENSG00000112234	ENSMUSG00000040410	ortholog_one2one
ENSG00000112306	ENSMUSG00000061983	ortholog_one2one
ENSG00000112406	ENSMUSG00000039879	ortholog_one2one
ENSG00000112624	ENSMUSG00000036568	ortholog_one2one
ENSG00000112893	ENSMUSG00000024085	ortholog_one2one
ENSG00000112941	ENSMUSG00000034575	ortholog_one2one
ENSG00000112996	ENSMUSG00000021731	ortholog_one2one
ENSG00000113070	ENSMUSG00000024486	ortholog_one2one
ENSG00000113194	ENSMUSG00000025873	ortholog_one2one
ENSG00000113318	ENSMUSG00000014850	ortholog_one2one
ENSG00000113369	ENSMUSG00000074794	ortholog_one2one
ENSG00000113460	ENSMUSG00000022247	ortholog_one2one
ENSG00000113583	ENSMUSG00000036275	ortholog_one2one
ENSG00000113638	ENSMUSG00000022151	ortholog_one2one
ENSG00000114166	ENSMUSG00000000708	ortholog_one2one
ENSG00000114383	ENSMUSG00000010054	ortholog_one2one
ENSG00000114395	ENSMUSG00000037190	ortholog_one2many
ENSG00000114767	ENSMUSG00000041506	ortholog_one2one
ENSG00000114784	ENSMUSG00000006941	ortholog_one2one
ENSG00000115073	ENSMUSG00000037351	ortholog_one2one
ENSG00000115128	ENSMUSG00000037361	ortholog_one2one
ENSG00000115145	ENSMUSG00000055371	ortholog_one2one
ENSG00000115350	ENSMUSG00000030042	ortholog_one2one
ENSG00000116157	ENSMUSG00000028597	ortholog_one2one
ENSG00000116266	ENSMUSG00000071640	ortholog_one2many
ENSG00000116266	ENSMUSG00000027882	ortholog_one2many
ENSG00000116273	ENSMUSG00000047777	ortholog_one2one
ENSG00000116489	ENSMUSG00000070372	ortholog_one2many
ENSG00000116489	ENSMUSG00000055357	ortholog_one2many
ENSG00000116574	ENSMUSG00000039960	ortholog_one2one
ENSG00000116741	ENSMUSG00000026360	ortholog_one2one
ENSG00000116752	ENSMUSG00000005687	ortholog_one2one
ENSG00000116863	ENSMUSG00000042558	ortholog_one2one
ENSG00000116898	ENSMUSG00000028861	ortholog_one2one
ENSG00000116954	ENSMUSG00000028646	ortholog_one2one
ENSG00000117000	ENSMUSG00000049878	ortholog_one2one
ENSG00000117118	ENSMUSG00000009863	ortholog_one2one
ENSG00000117228		
ENSG00000117480	ENSMUSG00000034171	ortholog_one2one
ENSG00000117505	ENSMUSG00000029265	ortholog_one2one
ENSG00000117592	ENSMUSG00000026701	ortholog_one2many
ENSG00000117592	ENSMUSG00000050114	ortholog_one2many
ENSG00000117691	ENSMUSG00000037499	ortholog_one2one
ENSG00000117862	ENSMUSG00000028567	ortholog_one2one
ENSG00000118181	ENSMUSG00000009927	ortholog_one2one
ENSG00000118217	ENSMUSG00000026663	ortholog_one2one
ENSG00000118508	ENSMUSG00000019832	ortholog_one2one
ENSG00000118523	ENSMUSG00000019997	ortholog_one2one
ENSG00000118680	ENSMUSG00000034868	ortholog_one2one
ENSG00000119013	ENSMUSG00000026032	ortholog_one2one
ENSG00000119138	ENSMUSG00000033863	ortholog_one2one
ENSG00000119431	ENSMUSG00000038422	ortholog_one2one
ENSG00000119446	ENSMUSG00000026889	ortholog_one2one
ENSG00000119669	ENSMUSG00000034168	ortholog_one2one
ENSG00000119801	ENSMUSG00000039770	ortholog_one2one
ENSG00000119820	ENSMUSG00000024072	ortholog_one2one
ENSG00000119878	ENSMUSG00000024146	ortholog_one2one
ENSG00000119900	ENSMUSG00000026158	ortholog_one2one
ENSG00000119917	ENSMUSG00000062488	ortholog_one2many
ENSG00000119917	ENSMUSG00000074896	ortholog_one2many
ENSG00000119953	ENSMUSG00000025024	ortholog_one2one
ENSG00000120129	ENSMUSG00000024190	ortholog_one2one
ENSG00000120306	ENSMUSG00000046727	ortholog_one2one
ENSG00000120333	ENSMUSG00000058267	ortholog_one2one
ENSG00000120509	ENSMUSG00000015668	ortholog_one2one
ENSG00000120656	ENSMUSG00000028899	ortholog_one2one
ENSG00000120738	ENSMUSG00000038418	ortholog_one2one
ENSG00000120963	ENSMUSG00000062397	ortholog_one2one
ENSG00000121060	ENSMUSG00000000275	ortholog_one2one
ENSG00000121691	ENSMUSG00000027187	ortholog_one2one
ENSG00000122033	ENSMUSG00000016510	ortholog_one2one
ENSG00000122042	ENSMUSG00000001687	ortholog_one2one
ENSG00000122547	ENSMUSG00000036611	ortholog_one2one
ENSG00000123080	ENSMUSG00000028551	ortholog_one2one
ENSG00000123091	ENSMUSG00000028557	ortholog_one2one
ENSG00000123545	ENSMUSG00000028261	ortholog_one2one
ENSG00000123575	ENSMUSG00000042595	ortholog_one2one
ENSG00000123595	ENSMUSG00000079316	ortholog_one2one
ENSG00000123609	ENSMUSG00000026946	ortholog_one2one
ENSG00000123684	ENSMUSG00000026623	ortholog_one2one
ENSG00000123728	ENSMUSG00000050029	ortholog_one2one
ENSG00000124098	ENSMUSG00000027495	ortholog_one2one
ENSG00000124198	ENSMUSG00000074582	ortholog_one2one
ENSG00000124209	ENSMUSG00000027519	ortholog_one2one
ENSG00000124226	ENSMUSG00000006418	ortholog_one2one
ENSG00000124228	ENSMUSG00000017999	ortholog_one2one
ENSG00000124444		
ENSG00000124541	ENSMUSG00000023971	ortholog_one2one
ENSG00000124570	ENSMUSG00000042842	ortholog_one2many
ENSG00000124570	ENSMUSG00000047889	ortholog_one2many
ENSG00000124570	ENSMUSG00000052180	ortholog_one2many
ENSG00000124570	ENSMUSG00000069248	ortholog_one2many
ENSG00000124570	ENSMUSG00000060147	ortholog_one2many
ENSG00000124659	ENSMUSG00000036430	ortholog_one2one
ENSG00000124733	ENSMUSG00000002768	ortholog_one2one
ENSG00000124766	ENSMUSG00000076431	ortholog_one2one
ENSG00000124767	ENSMUSG00000024026	ortholog_one2one
ENSG00000124788	ENSMUSG00000046876	ortholog_one2one
ENSG00000125148	ENSMUSG00000031765	ortholog_many2many
ENSG00000125304	ENSMUSG00000025544	ortholog_one2one
ENSG00000125352	ENSMUSG00000036537	ortholog_one2one
ENSG00000125356	ENSMUSG00000016427	ortholog_one2one
ENSG00000125482	ENSMUSG00000026803	ortholog_one2one
ENSG00000125520		
ENSG00000125629	ENSMUSG00000003721	ortholog_one2one
ENSG00000125810	ENSMUSG00000027435	ortholog_one2one
ENSG00000125817	ENSMUSG00000068267	ortholog_one2one
ENSG00000125821	ENSMUSG00000027430	ortholog_one2one
ENSG00000125863	ENSMUSG00000027274	ortholog_one2one
ENSG00000125870	ENSMUSG00000008333	ortholog_one2one
ENSG00000125875	ENSMUSG00000027465	ortholog_one2one
ENSG00000125901	ENSMUSG00000037740	ortholog_one2one
ENSG00000125977	ENSMUSG00000074656	ortholog_one2one
ENSG00000125995	ENSMUSG00000067847	ortholog_one2one
ENSG00000126003	ENSMUSG00000051413	ortholog_one2one
ENSG00000126062	ENSMUSG00000010045	ortholog_one2one
ENSG00000126067	ENSMUSG00000028837	ortholog_one2one
ENSG00000126267	ENSMUSG00000036751	ortholog_one2one
ENSG00000126458	ENSMUSG00000038387	ortholog_one2one
ENSG00000126749	ENSMUSG00000004268	ortholog_one2one
ENSG00000126775	ENSMUSG00000037526	ortholog_one2one
ENSG00000126821	ENSMUSG00000021054	ortholog_one2one
ENSG00000126945	ENSMUSG00000045427	ortholog_one2one
ENSG00000126947	ENSMUSG00000033460	ortholog_one2one
ENSG00000127666	ENSMUSG00000047123	ortholog_one2one
ENSG00000127774	ENSMUSG00000047260	ortholog_one2one
ENSG00000127884	ENSMUSG00000025465	ortholog_one2one
ENSG00000127920	ENSMUSG00000032766	ortholog_one2one
ENSG00000127951	ENSMUSG00000039899	ortholog_one2one
ENSG00000128228	ENSMUSG00000022769	ortholog_one2one
ENSG00000128272	ENSMUSG00000042406	ortholog_one2one
ENSG00000128590	ENSMUSG00000014905	ortholog_one2one
ENSG00000128626	ENSMUSG00000045948	ortholog_one2one
ENSG00000129055	ENSMUSG00000035048	ortholog_one2one
ENSG00000129128	ENSMUSG00000054408	ortholog_one2one
ENSG00000129472	ENSMUSG00000022159	ortholog_one2one
ENSG00000129559	ENSMUSG00000010376	ortholog_one2one
ENSG00000129595	ENSMUSG00000024376	ortholog_one2one
ENSG00000130119	ENSMUSG00000025266	ortholog_one2one
ENSG00000130303	ENSMUSG00000046718	ortholog_one2one
ENSG00000130311	ENSMUSG00000074247	ortholog_one2one
ENSG00000130332	ENSMUSG00000064317	ortholog_one2many
ENSG00000130332	ENSMUSG00000035215	ortholog_one2many
ENSG00000130340	ENSMUSG00000002365	ortholog_one2one
ENSG00000130382	ENSMUSG00000024212	ortholog_one2one
ENSG00000130560	ENSMUSG00000036352	ortholog_one2one
ENSG00000130706	ENSMUSG00000042165	ortholog_one2many
ENSG00000130706	ENSMUSG00000039041	ortholog_one2many
ENSG00000130764	ENSMUSG00000029028	ortholog_one2one
ENSG00000130772	ENSMUSG00000066042	ortholog_one2one
ENSG00000131171	ENSMUSG00000031246	ortholog_one2one
ENSG00000131174	ENSMUSG00000031231	ortholog_many2many
ENSG00000131263	ENSMUSG00000056537	ortholog_one2one
ENSG00000131507	ENSMUSG00000024425	ortholog_one2one
ENSG00000131669	ENSMUSG00000037966	ortholog_one2one
ENSG00000131732	ENSMUSG00000021621	ortholog_one2one
ENSG00000131873	ENSMUSG00000032640	ortholog_one2one
ENSG00000132128	ENSMUSG00000028703	ortholog_one2one
ENSG00000132182	ENSMUSG00000030091	ortholog_one2one
ENSG00000132432	ENSMUSG00000078974	ortholog_one2one
ENSG00000132467	ENSMUSG00000070697	ortholog_one2one
ENSG00000132612	ENSMUSG00000031913	ortholog_one2many
ENSG00000132646	ENSMUSG00000027342	ortholog_one2many
ENSG00000132646	ENSMUSG00000067608	ortholog_one2many
ENSG00000132661	ENSMUSG00000036992	ortholog_one2one
ENSG00000132823	ENSMUSG00000035399	ortholog_one2one
ENSG00000132952	ENSMUSG00000041264	ortholog_one2one
ENSG00000132963	ENSMUSG00000029649	ortholog_one2one
ENSG00000132965	ENSMUSG00000060063	ortholog_one2one
ENSG00000133104	ENSMUSG00000036580	ortholog_one2one
ENSG00000133398	ENSMUSG00000021598	ortholog_one2one
ENSG00000133935	ENSMUSG00000021252	ortholog_one2one
ENSG00000133983	ENSMUSG00000091803	ortholog_one2one
ENSG00000134049	ENSMUSG00000090000	ortholog_many2many
ENSG00000134056	ENSMUSG00000021631	ortholog_one2many
ENSG00000134056	ENSMUSG00000061474	ortholog_one2many
ENSG00000134056	ENSMUSG00000096557	ortholog_one2many
ENSG00000134107	ENSMUSG00000030103	ortholog_one2one
ENSG00000134202	ENSMUSG00000004032	ortholog_one2one
ENSG00000134255	ENSMUSG00000040774	ortholog_one2one
ENSG00000134371	ENSMUSG00000026361	ortholog_one2one
ENSG00000134375	ENSMUSG00000062580	ortholog_one2one
ENSG00000134590	ENSMUSG00000067924	ortholog_many2many
ENSG00000134597	ENSMUSG00000031107	ortholog_one2one
ENSG00000134684	ENSMUSG00000028811	ortholog_one2one
ENSG00000134698	ENSMUSG00000042500	ortholog_one2one
ENSG00000134748	ENSMUSG00000063800	ortholog_one2one
ENSG00000134809	ENSMUSG00000027076	ortholog_one2one
ENSG00000134996	ENSMUSG00000024725	ortholog_one2one
ENSG00000135334	ENSMUSG00000028291	ortholog_one2one
ENSG00000135521	ENSMUSG00000019814	ortholog_one2one
ENSG00000135617	ENSMUSG00000030008	ortholog_one2one
ENSG00000135766	ENSMUSG00000031987	ortholog_one2one
ENSG00000135776	ENSMUSG00000031974	ortholog_one2one
ENSG00000135821	ENSMUSG00000026473	ortholog_one2one
ENSG00000135829	ENSMUSG00000042699	ortholog_one2one
ENSG00000135845	ENSMUSG00000026698	ortholog_one2one
ENSG00000135900	ENSMUSG00000026248	ortholog_one2one
ENSG00000135932	ENSMUSG00000036707	ortholog_one2one
ENSG00000135940	ENSMUSG00000061518	ortholog_one2many
ENSG00000135940	ENSMUSG00000079941	ortholog_one2many
ENSG00000135966	ENSMUSG00000070939	ortholog_one2one
ENSG00000135972	ENSMUSG00000060679	ortholog_one2one
ENSG00000136026	ENSMUSG00000046841	ortholog_one2one
ENSG00000136100	ENSMUSG00000031479	ortholog_one2one
ENSG00000136152	ENSMUSG00000034893	ortholog_one2one
ENSG00000136158	ENSMUSG00000022114	ortholog_one2one
ENSG00000136159	ENSMUSG00000037603	ortholog_one2many
ENSG00000136159	ENSMUSG00000033405	ortholog_one2many
ENSG00000136305	ENSMUSG00000022219	ortholog_one2one
ENSG00000136371	ENSMUSG00000066442	ortholog_many2many
ENSG00000136371	ENSMUSG00000079427	ortholog_many2many
ENSG00000136463	ENSMUSG00000001983	ortholog_one2one
ENSG00000136720	ENSMUSG00000045216	ortholog_one2one
ENSG00000136783	ENSMUSG00000015242	ortholog_one2many
ENSG00000136802	ENSMUSG00000007476	ortholog_one2many
ENSG00000136802	ENSMUSG00000099041	ortholog_one2many
ENSG00000136819	ENSMUSG00000026851	ortholog_one2one
ENSG00000136827	ENSMUSG00000026849	ortholog_one2one
ENSG00000136878	ENSMUSG00000026854	ortholog_one2one
ENSG00000136888	ENSMUSG00000039105	ortholog_one2many
ENSG00000136938	ENSMUSG00000028333	ortholog_one2many
ENSG00000136938	ENSMUSG00000090323	ortholog_one2many
ENSG00000136950	ENSMUSG00000026755	ortholog_one2one
ENSG00000137038	ENSMUSG00000028398	ortholog_one2one
ENSG00000137040	ENSMUSG00000074909	ortholog_one2one
ENSG00000137124	ENSMUSG00000035561	ortholog_one2one
ENSG00000137133	ENSMUSG00000028470	ortholog_one2one
ENSG00000137161	ENSMUSG00000023973	ortholog_one2one
ENSG00000137168	ENSMUSG00000024007	ortholog_one2one
ENSG00000137193	ENSMUSG00000024014	ortholog_one2one
ENSG00000137198	ENSMUSG00000000253	ortholog_one2one
ENSG00000137364	ENSMUSG00000021376	ortholog_one2one
ENSG00000137414	ENSMUSG00000069237	ortholog_one2one
ENSG00000138175	ENSMUSG00000025035	ortholog_one2one
ENSG00000138495	ENSMUSG00000046516	ortholog_one2many
ENSG00000138495	ENSMUSG00000095464	ortholog_one2many
ENSG00000138801	ENSMUSG00000028032	ortholog_one2one
ENSG00000139233	ENSMUSG00000020224	ortholog_one2one
ENSG00000139517	ENSMUSG00000016520	ortholog_one2one
ENSG00000139645	ENSMUSG00000014498	ortholog_one2one
ENSG00000139651	ENSMUSG00000046897	ortholog_one2one
ENSG00000139679	ENSMUSG00000033446	ortholog_one2one
ENSG00000139687	ENSMUSG00000022105	ortholog_one2one
ENSG00000140259	ENSMUSG00000068479	ortholog_one2many
ENSG00000140259	ENSMUSG00000048222	ortholog_one2many
ENSG00000141232	ENSMUSG00000037573	ortholog_one2one
ENSG00000142207	ENSMUSG00000039929	ortholog_one2one
ENSG00000142252	ENSMUSG00000044709	ortholog_one2one
ENSG00000142444	ENSMUSG00000048429	ortholog_one2one
ENSG00000142867	ENSMUSG00000028191	ortholog_one2one
ENSG00000143013	ENSMUSG00000028266	ortholog_one2one
ENSG00000143162	ENSMUSG00000040713	ortholog_one2one
ENSG00000143222	ENSMUSG00000062963	ortholog_one2one
ENSG00000143256	ENSMUSG00000006412	ortholog_one2one
ENSG00000143319	ENSMUSG00000048039	ortholog_one2one
ENSG00000143545	ENSMUSG00000027935	ortholog_one2one
ENSG00000143553	ENSMUSG00000001018	ortholog_one2one
ENSG00000143614	ENSMUSG00000042390	ortholog_one2one
ENSG00000143653	ENSMUSG00000038936	ortholog_one2one
ENSG00000143751	ENSMUSG00000038806	ortholog_one2one
ENSG00000143761	ENSMUSG00000048076	ortholog_one2one
ENSG00000143793	ENSMUSG00000020441	ortholog_one2one
ENSG00000143811	ENSMUSG00000026520	ortholog_one2many
ENSG00000143862	ENSMUSG00000026426	ortholog_one2one
ENSG00000143878	ENSMUSG00000054364	ortholog_one2one
ENSG00000143971	ENSMUSG00000016984	ortholog_one2one
ENSG00000144021	ENSMUSG00000003662	ortholog_one2one
ENSG00000144161	ENSMUSG00000027387	ortholog_one2one
ENSG00000144199	ENSMUSG00000027371	ortholog_one2many
ENSG00000144233	ENSMUSG00000041915	ortholog_one2one
ENSG00000144647	ENSMUSG00000066235	ortholog_one2one
ENSG00000144655	ENSMUSG00000032515	ortholog_one2one
ENSG00000145022	ENSMUSG00000039461	ortholog_one2one
ENSG00000145337	ENSMUSG00000098753	ortholog_one2many
ENSG00000145337	ENSMUSG00000043162	ortholog_one2many
ENSG00000145365	ENSMUSG00000046688	ortholog_one2one
ENSG00000145632	ENSMUSG00000021701	ortholog_one2one
ENSG00000145780	ENSMUSG00000033319	ortholog_one2one
ENSG00000145945	ENSMUSG00000038246	ortholog_one2one
ENSG00000146066	ENSMUSG00000025868	ortholog_one2many
ENSG00000146072	ENSMUSG00000023915	ortholog_one2one
ENSG00000146085	ENSMUSG00000023921	ortholog_one2one
ENSG00000146109	ENSMUSG00000036376	ortholog_one2one
ENSG00000146247	ENSMUSG00000032253	ortholog_one2one
ENSG00000146281	ENSMUSG00000054659	ortholog_one2one
ENSG00000146376	ENSMUSG00000039031	ortholog_one2one
ENSG00000146433	ENSMUSG00000093880	ortholog_one2many
ENSG00000146433	ENSMUSG00000038141	ortholog_one2many
ENSG00000146433	ENSMUSG00000079733	ortholog_one2many
ENSG00000146433	ENSMUSG00000096780	ortholog_one2many
ENSG00000146587	ENSMUSG00000061898	ortholog_one2one
ENSG00000146676	ENSMUSG00000094483	ortholog_one2one
ENSG00000146830	ENSMUSG00000029714	ortholog_one2one
